subject_id,item_id,type,goal,audience,audience_group,option1.tangram,option1.shared,option1.group,option1.label,option2.tangram,option2.shared,option2.group,option2.label,response.tangram,response.shared,response.group,response.label,understood
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,refer,one,blue,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,blue,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,both,,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,social,one,red,A,unique,red,thriller,A,unique,blue,zombie,A,unique,red,thriller,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,same,refer,one,red,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
b9017a50-646e-4ad1-b605-9f7c965bd60c,0,diff,refer,one,red,C,shared,red,falling guy,H,unique,red,baby,H,unique,red,baby,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,refer,both,,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,L,shared,blue,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,C,shared,blue,falling guy,H,unique,blue,no arms,H,unique,blue,no arms,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,red,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,refer,both,,L,shared,,zigzag,L,,unseen,bent knees,L,,unseen,bent knees,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,social,one,red,A,unique,red,thriller,A,unique,blue,zombie,A,unique,blue,zombie,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,blue,B,shared,blue,mouse,H,unique,blue,no arms,B,shared,blue,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,refer,one,red,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,red,C,shared,red,falling guy,A,unique,red,thriller,C,shared,red,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,refer,one,blue,L,shared,,zigzag,L,,unseen,bent knees,L,shared,,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,L,shared,blue,zigzag,H,unique,blue,no arms,H,unique,blue,no arms,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,refer,one,red,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,refer,one,red,C,shared,,falling guy,C,,unseen,no legs,C,,unseen,no legs,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,red,B,shared,red,mouse,A,unique,red,thriller,B,shared,red,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,refer,one,blue,C,shared,,falling guy,C,,unseen,no legs,C,shared,,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,social,one,blue,A,unique,red,thriller,A,unique,blue,zombie,A,unique,red,thriller,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,social,one,red,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,red,priest,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,red,B,shared,red,mouse,H,unique,red,baby,H,unique,red,baby,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,blue,B,shared,blue,mouse,A,unique,blue,zombie,B,shared,blue,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,B,shared,red,mouse,A,unique,red,thriller,B,shared,red,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,B,shared,blue,mouse,H,unique,blue,no arms,H,unique,blue,no arms,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,social,one,blue,D,unique,red,priest,D,unique,blue,long sleeved book,D,unique,red,priest,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,blue,L,shared,blue,zigzag,D,unique,blue,long sleeved book,L,shared,blue,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,social,one,blue,H,unique,red,baby,H,unique,blue,no arms,H,unique,red,baby,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,red,L,shared,red,zigzag,D,unique,red,priest,L,shared,red,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,B,shared,red,mouse,D,unique,red,priest,B,shared,red,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,L,shared,blue,zigzag,D,unique,blue,long sleeved book,L,shared,blue,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,same,refer,both,,B,shared,,mouse,B,,unseen,princess dance,B,shared,,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,L,shared,red,zigzag,A,unique,red,thriller,L,shared,red,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,blue,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,C,shared,blue,falling guy,D,unique,blue,long sleeved book,D,unique,blue,long sleeved book,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,blue,B,shared,blue,mouse,D,unique,blue,long sleeved book,B,shared,blue,mouse,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,red,C,shared,red,falling guy,A,unique,red,thriller,A,unique,red,thriller,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,blue,C,shared,blue,falling guy,A,unique,blue,zombie,C,shared,blue,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,blue,C,shared,blue,falling guy,D,unique,blue,long sleeved book,C,shared,blue,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,blue,C,shared,blue,falling guy,H,unique,blue,no arms,C,shared,blue,falling guy,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,social,one,red,C,shared,red,falling guy,D,unique,red,priest,D,unique,red,priest,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,C,shared,red,falling guy,H,unique,red,baby,H,unique,red,baby,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,both,,L,shared,red,zigzag,H,unique,red,baby,L,shared,red,zigzag,yes
6591408c-effb-4dde-8f1c-bfa7d00a5d85,0,diff,refer,one,red,C,shared,red,falling guy,D,unique,red,priest,C,shared,red,falling guy,yes
